Head,Related Tails
budget,in the budget
budget,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
budget,that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
budget,in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
budget,per chapter up to a maximum of one quarter of the total appropriations authorised in the relevant chapter of the budget for the preceding financial year plus one twelfth for each month which has elapsed
budget,per chapter up to a maximum of one twelfth of the appropriations authorised in the relevant chapter of the budget for the preceding financial year
budget,one twelfth of the appropriations provided for in the same chapter of the budget however
budget,the amount of the appropriations entered in the corresponding chapter of the budget for the preceding financial year
budget,in the budget for the following financial year as revenue in the event of a surplus or as a payment appropriation in the event of a deficit
budget,in the budget during the budgetary procedure and in a letter of amendment submitted pursuant to article 42 of this regulation
budget,after the presentation of the provisional accounts for each financial year in the budget for the following financial year through an amending budget devoted solely to that discrepancy
budget,without prejudice to article 27 in the budget in full without any adjustment against each other
budget,on the sum entered in the budget for the preceding financial year
budget,to which with regard to operational expenditure transfer appropriations between chapters within the same title up to a maximum of 10   of the appropriations for the financial year shown on the budget line from which the transfer is made with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
budget,from which with regard to research and technological development appropriations implemented by the jrc within the title of the budget relating to the direct research policy area transfer appropriations between chapters of up to a maximum of 15   of the appropriations on the budget line from which the transfer is made with regard to research and technological development transfer operational appropriations from one title to another
budget,in all languages on the website of union institutions on the commissions initiative as soon as possible and no later than four weeks after the definitive adoption of the budget
budget,where by the budget in accordance with point of the first subparagraph of article 621
budget,the budget when pursuant to article 591
budget,in the budget
budget,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year
budget,that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf
